iter	Logloss
0	0.6894449313
1	0.6849820556
2	0.6815194591
3	0.678029872
4	0.6747652132
5	0.6710279392
6	0.6669655777
7	0.663778305
8	0.6601128961
9	0.6566046178
10	0.6526701127
11	0.6490711692
12	0.6457269689
13	0.6431614273
14	0.6399363782
15	0.6365057572
16	0.6332723158
17	0.63103211
18	0.6279139341
19	0.6246059632
20	0.6219578163
21	0.61885588
22	0.6158195325
23	0.6129296714
24	0.6099516348
25	0.6072355984
26	0.6049041569
27	0.6024630365
28	0.5993718946
29	0.597341968
30	0.5949200119
31	0.5926233343
32	0.59065333
33	0.5881792017
34	0.5855558953
35	0.5829731289
36	0.5807842289
37	0.5780662366
38	0.5752621985
39	0.5727524398
40	0.5712206205
41	0.569300757
42	0.5672498837
43	0.564840461
44	0.5622995296
45	0.5602976671
46	0.5582154795
47	0.5560602745
48	0.5545160587
49	0.5520524785
50	0.5506542428
51	0.5492823314
52	0.5477113842
53	0.5458547065
54	0.5443128688
55	0.5426334284
56	0.5407359536
57	0.5391747347
58	0.5372189554
59	0.5356849224
60	0.533965049
61	0.5321815147
62	0.530437145
63	0.5289559419
64	0.5269169842
65	0.5253292102
66	0.5240457531
67	0.5223110409
68	0.5204230647
69	0.5189594712
70	0.5174092858
71	0.5159737923
72	0.5141736913
73	0.5131342147
74	0.5117808918
75	0.5101040026
76	0.5088585122
77	0.5075989479
78	0.505606625
79	0.5045295007
80	0.5029584714
81	0.501422521
82	0.5000401026
83	0.4985326465
84	0.4971111287
85	0.4956710267
86	0.4949669818
87	0.87	0.4876588	0.488	0.488	0.4841189	0.4850628224
90	0.490	0.48191	0.4825762698
92	0.4811697192
93	0.4801026184
94	0.4790341408
95	0.4779636371
96	0.4765039198
97	0.4752991292
98	0.4740191082
99	0.4728312729
100	0.4714555122
101	0.4702014772
102	0.4690601398
103	0.4681505159
104	0.4666664002
105	0.4656466186
106	0.4643680837
107	0.4632870351
108	0.4625691284
109	0.4615184302
110	0.4604388941
111	0.4594726035
112	0.4582400525
113	0.4571424817
114	0.4563235033
115	0.455412466
116	0.454491501
117	0.4533231854
118	0.4526012271
119	0.4516563092
120	0.45053164
121	0.4497249601
122	0.4488840141
123	0.4478218395
124	0.4467237819
125	0.4458427691
126126	0.46137363127	0.4437545785
128	0.4427570326
129	0.4421770344
130	0.4413000649
131	0.4406772443
132	0.4398666508
133	0.4392323091
134	0.4385635248
135	0.4374950871
136	0.4369224851
137	0.4364200031
138	0.4357291671
139	0.434993179
140	0.4342564445
141	0.4336749998
142	0.4327649031
143	0.431939619
144	0.43119718
145	0.4304302252
146	0.4296707972
147	0.428990991
148	0.4282378067
149	0.4275044823
150	0.4266117804
151	0.4256875211
152	0.4251725039
1153	0.4396841224
154	0.43866385441155	0.43155	0.421156	0.4368806679157	0.4213850919
1158	0.43551811041159	0.4348761707160	0.4187863255
1161	0.4332457004
162	0.4326702147
163	0.4320366153
164	0.4315407998
165	0.4311330491
166	0.4304626287
167	0.4296265488
168	0.4290768289
169	0.42818201511170	0.4272587229171	0.4114824367
1172	0.4260921038
173	0.4254248734
174	0.4248833531
175	0.4244688675
176	0.4237405064
177	0.4230688055
178	0.4222792816
179	0.42179583180180	0.4211903018181	0.4181	0.4044182	0.182	0.40400183	0.4193240254
184	0.4187920571
185	0.41799498186186	0.4173682881
187	0.4168113181
188	0.4163572186
189	0.189	0.39921190	0.190	0.39877191	0.191	0.3981192	0.192	0.39753193	193	0.3968093194	0.412946703
195	0195	0.395560196	0196	0.39499197	0.197	0.39417198	0198	0.393440199	0199	0.392665200	0200	0.391956201	0.4088628009
202	0.4083087365
203	0.407688304
204	0.4070040041
205	0.4066794196
206	0.4061089804
207	0.4054636672
208	0.404843158
209	0.4042693689
210	0.4038030957
211	0.4032624331
212	0.4029315497
213	0.4024680125
214	0.4019657223
215	0.4015655118
216	0.4013503696
