iter	Passed	Remaining
0	176	176796
1	201	100758
2	217	72321
3	233	58161
4	249	49669
5	265	44002
6	281	39933
7	297	36866
8	313	34493
9	329	32605
10	345	31040
11	361	29729
12	377	28632
13	392	27669
14	408	26839
15	425	26149
16	440	25486
17	456	24897
18	472	24388
19	488	23933
20	504	23502
21	519	23104
22	535	22752
23	550	22392
24	565	22057
25	581	21791
26	597	21529
27	613	21293
28	629	21071
29	645	20858
30	661	20666
31	676	20477
32	693	20307
33	709	20145
34	724	19985
35	740	19833
36	755	19660
37	770	19512
38	786	19381
39	802	19262
40	818	19139
41	834	19029
42	850	18920
43	866	18817
44	881	18713
45	897	18621
46	913	18528
47	929	18441
48	945	18351
49	961	18271
50	977	18192
51	993	18113
52	1009	18038
53	1025	17964
54	1041	17892
55	1057	17821
56	1073	17752
57	1089	17688
58	1104	17622
59	1121	17563
60	1136	17500
61	1152	17441
62	1168	17383
63	1183	17312
64	1198	17241
65	1214	17189
66	1230	17133
67	1246	17082
68	1261	17018
69	1276	16955
70	1291	16904
71	1307	16858
72	1323	16812
73	1339	16766
74	1355	16721
75	1384	16833
76	1400	16791
77	1416	16746
78	1432	16699
79	1448	16657
80	1464	16616
81	1480	16570
82	1495	16521
83	1511	16477
84	1526	16427
85	1541	16387
86	1557	16348
87	1573	16309
88	1589	16270
89	1605	16232
90	1621	16197
91	1637	16160
92	1653	16124
93	1669	16088
94	1684	16043
95	1698	15998
96	1714	15963
97	1730	15929
98	1746	15897
99	1762	15864
100	1778	15831
101	1794	15798
102	1810	15765
103	1826	15731
104	1842	15702
105	1858	15672
106	1874	15640
107	1890	15611
108	1906	15580
109	1921	15550
110	1937	15520
111	1953	15491
112	1969	15462
113	1985	15433
114	2001	15405
115	2017	15374
116	2033	15346
117	2049	15318
118	2065	15291
119	2081	15262
120	2097	15234
121	2112	15205
122	2129	15180
123	2145	15158
124	2160	15125
125	2176	15098
126	2192	15073
127	2208	15046
128	2224	15019
129	2240	14994
130	2255	14959
131	2271	14934
132	2287	14908
133	2302	14882
134	2318	14857
135	2334	14832
136	2350	14807
137	2366	14782
138	2382	14758
139	2398	14733
140	2413	14703
141	2429	14677
142	2444	14652
143	2461	14631
144	2477	14608
145	2493	14583
146	2509	14559
147	2525	14536
148	2541	14517
149	2557	14490
150	2572	14465
151	2588	14440
152	2603	14411
153	2619	14390
154	2634	14361
155	2649	14334
156	2665	14311
157	2681	14288
158	2713	14350
159	2728	14327
160	2745	14304
161	2760	14280
162	2776	14258
163	2792	14237
164	2808	14214
165	2824	14191
166	2840	14169
167	2855	14142
168	2870	14115
169	2886	14092
170	2902	14070
171	2917	14043
172	2933	14025
173	2948	13996
174	2963	13972
175	2979	13951
176	2995	13930
177	3011	13908
178	3027	13886
179	3043	13864
180	3059	13844
181	3075	13823
182	3091	13801
183	3107	13780
184	3123	13758
185	3139	13738
186	3155	13718
187	3170	13692
188	3185	13666
189	3200	13645
190	3216	13624
191	3232	13603
192	3248	13583
193	3264	13562
194	3280	13541
195	3295	13519
196	3311	13499
197	3328	13481
198	3343	13458
199	3359	13438
200	3375	13418
201	3391	13398
202	3407	13378
203	3423	13358
204	3439	13338
205	3455	13318
206	3471	13298
207	3487	13278
208	3503	13257
209	3518	13236
210	3533	13213
211	3549	13194
212	3565	13174
213	3581	13154
214	3597	13134
215	3613	13115
216	3629	13095
217	3645	13075
218	3660	13055
219	3676	13035
220	3692	13016
221	3708	12997
222	3725	12980
223	3740	12958
224	3756	12939
225	3772	12920
226	3788	12900
227	3804	12881
228	3820	12861
229	3837	12846
230	3852	12823
231	3868	12805
232	3883	12785
233	3899	12766
234	3915	12746
235	3931	12728
236	3947	12709
237	3963	12690
238	3979	12671
239	3995	12652
240	4011	12633
241	4027	12615
242	4046	12604
243	4058	12576
244	4074	12557
245	4090	12537
246	4106	12519
247	4123	12504
248	4138	12482
249	4154	12463
250	4170	12444
251	4186	12426
252	4202	12407
253	4218	12388
254	4233	12369
255	4249	12350
256	4265	12332
257	4281	12313
258	4297	12295
259	4313	12276
260	4329	12258
261	4345	12240
262	4361	12221
263	4377	12203
264	4392	12181
265	4406	12160
266	4422	12141
267	4438	12122
268	4454	12104
269	4470	12086
270	4486	12067
271	4502	12049
272	4517	12031
273	4533	12012
274	4549	11994
275	4565	11976
276	4581	11958
277	4597	11940
278	4613	11921
279	4629	11903
280	4645	11885
281	4661	11867
282	4676	11849
283	4692	11831
284	4709	11813
285	4724	11795
286	4740	11777
287	4756	11759
288	4772	11741
289	4788	11723
290	4804	11705
291	4820	11687
292	4836	11669
293	4852	11651
294	4867	11633
295	4883	11615
296	4899	11597
297	4915	11580
298	4931	11561
299	4947	11543
300	4963	11525
301	4979	11507
302	4995	11490
303	5010	11472
304	5026	11454
305	5042	11436
306	5058	11419
307	5074	11401
308	5090	11383
309	5094	11340
310	5097	11293
311	5103	11253
312	5106	11207
313	5118	11181
314	5127	11149
315	5131	11106
316	5137	11069
317	5147	11039
318	5153	11002
319	5159	10963
320	5163	10922
321	5167	10880
322	5170	10838
323	5184	10816
324	5190	10779
325	5192	10736
326	5198	10698
327	5200	10655
328	5205	10617
329	5208	10574
330	5212	10535
331	5217	10497
332	5224	10464
333	5227	10423
334	5230	10383
335	5236	10347
336	5239	10308
337	5242	10267
338	5247	10231
339	5251	10193
340	5254	10155
341	5261	10123
342	5265	10085
343	5267	10044
344	5271	10008
345	5274	9969
346	5278	9933
347	5283	9898
348	5286	9861
349	5289	9824
350	5293	9787
351	5298	9754
352	5303	9720
353	5308	9686
354	5314	9655
355	5316	9618
356	5321	9584
357	5325	9549
358	5328	9513
359	5333	9481
360	5338	9450
361	5343	9417
362	5351	9390
363	5354	9355
364	5360	9325
365	5363	9290
366	5366	9256
367	5369	9221
368	5373	9189
369	5377	9156
370	5380	9121
371	5384	9090
372	5388	9057
373	5394	9028
374	5398	8997
375	5404	8968
376	5407	8936
377	5413	8908
378	5416	8874
379	5419	8842
380	5421	8808
381	5424	8776
382	5428	8744
383	5432	8714
384	5435	8682
385	5438	8650
386	5440	8617
387	5445	8588
388	5448	8557
389	5453	8529
390	5456	8498
391	5460	8469
392	5466	8443
393	5470	8414
394	5473	8383
395	5478	8355
396	5481	8325
397	5484	8295
398	5490	8270
399	5493	8240
400	5497	8211
401	5501	8184
402	5505	8156
403	5508	8126
404	5512	8099
405	5517	8071
406	5521	8045
407	5526	8018
408	5535	7998
409	5539	7972
410	5546	7948
411	5551	7923
412	5555	7895
413	5559	7869
414	5562	7841
415	5565	7813
416	5569	7786
417	5575	7762
418	5578	7735
419	5582	7709
420	5587	7684
421	5591	7657
422	5593	7629
423	5598	7605
424	5601	7577
425	5604	7551
426	5609	7527
427	5614	7503
428	5618	7478
429	5623	7454
430	5626	7428
431	5629	7402
432	5633	7376
433	5636	7351
434	5640	7326
435	5644	7300
436	5649	7278
437	5653	7253
438	5656	7228
439	5661	7205
440	5665	7180
441	5667	7155
442	5671	7130
443	5674	7106
444	5680	7084
445	5683	7059
446	5688	7037
447	5693	7014
448	5696	6990
449	5703	6970
450	5706	6946
451	5709	6922
452	5712	6898
453	5715	6873
454	5719	6850
455	5722	6827
456	5730	6808
457	5733	6785
458	5737	6762
459	5741	6740
460	5747	6719
461	5751	6697
462	5754	6674
463	5760	6654
464	5764	6631
465	5767	6608
466	5770	6586
467	5773	6562
468	5775	6539
469	5782	6520
470	5787	6500
471	5790	6477
472	5795	6457
473	5799	6435
474	5803	6414
475	5807	6393
476	5810	6371
477	5814	6349
478	5818	6328
479	5823	6308
480	5827	6288
481	5831	6266
482	5834	6244
483	5837	6223
484	5841	6202
485	5844	6180
486	5847	6159
487	5854	6142
488	5856	6119
489	5860	6099
490	5861	6076
491	5867	6058
492	5874	6040
493	5879	6022
494	5883	6002
495	5885	5980
496	5888	5959
497	5894	5942
498	5898	5921
499	5902	5902
500	5904	5881
501	5909	5861
502	5912	5841
503	5916	5822
504	5920	5802
505	5923	5782
506	5927	5763
507	5930	5744
508	5935	5725
509	5939	5706
510	5945	5689
511	5950	5671
512	5953	5651
513	5957	5632
514	5960	5613
515	5965	5595
516	5968	5576
517	5972	5557
